Driver Name,Score_season_2020,Score_season_2021,Score_season_2022,Score_season_2023,Score_season_2024,Score_round_1,Score_round_2,Score_round_3,Score_round_4,Score_round_5,Score_round_6,Score_round_7,Score_round_8,Score_round_9,Score_round_10,Score_round_11,Score_round_12,Score_round_13,Score_round_14,Score_round_15,Score_round_16,Stop_times_round_1,duration_round_1,Stop_times_round_2,duration_round_2,Stop_times_round_3,duration_round_3,Stop_times_round_4,duration_round_4,Stop_times_round_5,duration_round_5,Stop_times_round_6,duration_round_6,Stop_times_round_7,duration_round_7,Stop_times_round_8,duration_round_8,Stop_times_round_9,duration_round_9,Stop_times_round_10,duration_round_10,Stop_times_round_11,duration_round_11,Stop_times_round_12,duration_round_12,Stop_times_round_13,duration_round_13,Stop_times_round_14,duration_round_14,Stop_times_round_15,duration_round_15,Stop_times_round_16,duration_round_16,ConstructorID,Position_Average,Point_Average,Position_Average_constructor,Point_Average_constructor,Position_Average_constructor.1,Point_Average_constructor.1,Position_Average_constructor,Point_Average_constructor
hamilton,347.0,387.5,240.0,234.0,208.0,13.6,11.4,16.2,12.0,8.8,11.2,14.6,12.0,14.0,17.2,16.4,17.9,17.4,11.6,16.4,10.0,1.8,23.2028,1.2,24.5974,1.2,201.0276,1.2,336.9286,1.4,23.256400000000003,1.6,21.9412,1.2,26.038,11.8,321.46320000000003,2.0,305.63539999999995,1.0,1037.525,1.2,307.8004,1.5,29.353,2.0,22.7412,1.25,24.1095,1.8,25.5518,1.25,23.9905,mercedes,4.2,253.25,4.2,253.25,4.2,253.25,4.2,253.25
kevin_magnussen,1.0,74.0,25.0,3.0,14.0,2.5,0.75,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.25,2.0,0.0,0.0,0.0,0.25,0.25,1.6666666666666667,25.08933333333333,1.0,21.670250000000003,1.6666666666666667,325.83,1.0,549.782,1.5,23.913,2.0,26.252666666666663,1.6666666666666667,26.813666666666663,1.0,28.84733333333333,2.0,29.583,1.6666666666666667,29.542666666666666,2.0,22.2965,1.75,29.28975,1.75,24.146500000000003,1.75,56.436,1.75,29.122,1.5,24.95,haas,17.363636363636363,9.181818181818182,17.363636363636363,9.181818181818182,17.363636363636363,9.181818181818182,17.363636363636363,9.181818181818182
tsunoda,62.0,32.0,12.0,17.0,30.0,1.5,0.0,1.75,2.0,0.0,3.25,0.25,1.25,0.0,0.25,2.0,0.5,0.5,0.0,0.0,0.0,1.5,24.623,1.0,24.601333333333333,1.25,247.516,1.3333333333333333,24.74233333333333,1.5,22.20625,1.0,24.79875,1.5,26.971,1.5,616.95525,1.75,22.96725,1.75,540.28525,1.25,27.47725,1.3333333333333333,30.12833333333333,1.5,20.55925,1.0,26.753500000000003,1.6666666666666667,23.544666666666668,1.3333333333333333,23.392333333333337,rb,16.0,15.333333333333334,16.0,15.333333333333334,16.0,15.333333333333334,16.0,15.333333333333334
hulkenberg,10.0,74.0,0.0,9.0,35.0,0.0,0.3333333333333333,4.0,0.0,2.333333333333333,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.6666666666666667,29.96733333333333,1.0,21.34233333333333,1.5,472.2355,1.5,24.185,1.6666666666666667,24.947333333333333,1.5,27.4905,1.5,26.503,2.0,24.2,2.0,23.2795,1.5,26.3625,2.0,22.151666666666667,1.5,27.325,2.0,22.472,2.0,23.798,1.0,28.558,2.0,30.118,haas,17.363636363636363,9.181818181818182,17.363636363636363,9.181818181818182,17.363636363636363,9.181818181818182,17.363636363636363,9.181818181818182
bottas,223.0,226.0,49.0,10.0,0.0,10.6,3.6,7.0,5.0,4.2,4.8,6.4,5.2,8.4,8.2,0.0,3.6,6.6,3.2,2.8,6.0,1.8,35.1226,1.8,23.8684,1.8,203.7322,1.8,28.541200000000003,1.0,23.53225,1.2,23.7626,1.0,27.1832,4.0,322.6544,1.2,305.12420000000003,1.4,633.2632,1.75,22.534,1.75,29.586250000000003,1.5,24.06925,1.0,23.87775,1.8,25.4628,1.2,30.0388,sauber,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0
russell,3.0,16.0,275.0,175.0,217.0,5.6,6.0,3.0,4.6,6.0,5.8,6.4,5.0,6.6,4.4,9.8,6.4,4.0,4.8,5.0,6.0,1.2,24.7708,1.0,22.9872,1.6,202.2942,1.4,336.9854,1.4,23.267199999999995,1.4,23.5704,1.25,26.831,1.4,510.0794,1.6,307.8334,2.0,27.410500000000003,1.4,23.432,1.0,31.7875,1.6,23.7,1.2,23.3452,1.6,253.187,1.4,24.5408,mercedes,4.2,253.25,4.2,253.25,4.2,253.25,4.2,253.25
sainz,105.0,164.5,246.0,200.0,259.0,11.8,9.0,5.4,6.2,10.6,7.6,7.6,10.2,7.4,8.4,8.8,6.1,8.4,11.2,12.8,9.6,1.4,23.914,1.25,23.7525,1.5,250.9995,1.75,25.81,1.0,25.3968,1.4,22.2308,1.0,27.00725,1.25,973.7,1.5,21.70425,1.5,534.7035,1.4,25.825800000000005,1.25,30.52325,1.4,22.9854,1.6,23.7684,1.2,253.6024,1.4,25.0238,ferrari,7.090909090909091,181.77272727272728,7.090909090909091,181.77272727272728,7.090909090909091,181.77272727272728,7.090909090909091,181.77272727272728
albon,105.0,74.0,4.0,27.0,12.0,0.25,3.0,2.75,1.0,3.0,1.0,2.0,2.0,3.75,1.25,0.0,0.5,1.0,3.25,3.75,3.333333333333333,1.75,22.8775,1.0,21.327,1.6666666666666667,19.921333333333333,1.3333333333333333,28.401333333333337,1.5,23.49975,2.0,23.5045,2.0,26.13725,1.25,614.4137499999999,1.75,377.141,1.3333333333333333,27.66433333333333,1.75,22.2845,1.5,30.4,2.333333333333333,25.75333333333333,1.75,23.64725,1.75,23.575,1.3333333333333333,33.61333333333334,williams,18.76923076923077,6.076923076923077,18.76923076923077,6.076923076923077,18.76923076923077,6.076923076923077,18.76923076923077,6.076923076923077
stroll,75.0,34.0,18.0,74.0,24.0,2.0,2.0,6.4,1.8,2.6,2.4,2.6,4.2,1.8,0.8,0.25,1.8,0.2,1.6,0.2,3.4,1.5,25.3145,1.25,389.42425,1.6,202.1892,1.4,25.8668,1.4,23.2168,1.75,23.26725,1.4,28.1554,10.6,322.4706,1.4,305.4464,1.75,27.19675,1.3333333333333333,21.744333333333334,1.25,32.93675,1.6,24.2486,1.2,24.1204,1.5,309.7115,1.4,26.631400000000003,aston_martin,12.22222222222222,55.333333333333336,12.22222222222222,55.333333333333336,12.22222222222222,55.333333333333336,12.222222222222221,55.333333333333336
colapinto,62.0,74.0,37.0,60.0,5.0,3.659770114942528,3.859444444444444,3.909770114942529,3.7971264367816095,3.833333333333333,3.71896551724138,3.743678160919541,3.8833333333333337,3.929885057471264,3.941954022988506,4.242857142857143,3.5690476190476192,4.144444444444445,3.7594444444444446,3.8879310344827593,0.0,1.5773809523809523,24.993126785714285,1.2755555555555556,72.48708444444445,1.6189655172413793,155.18533333333338,1.4376543209876544,132.25597160493828,1.2293103448275862,24.789460919540232,1.5844827586206895,23.21414195402299,1.3293103448275865,26.93724252873563,5.190804597701151,406.7664063218391,1.675862068965517,247.6662959770116,1.5097701149425289,337.96867011494254,1.6196428571428572,122.0983625,1.4074074074074074,30.1548950617284,1.5883333333333334,23.72921555555555,1.5,26.002658333333336,1.4690476190476187,116.7322125,1.0,25.147,williams,18.76923076923077,6.076923076923077,18.76923076923077,6.076923076923077,18.76923076923077,6.076923076923077,18.76923076923077,6.076923076923077
leclerc,98.0,159.0,308.0,206.0,319.0,12.8,10.6,10.6,12.4,9.6,7.0,5.4,8.6,7.2,10.0,7.4,5.8,8.0,11.8,8.6,13.4,1.6,23.8178,1.0,27.04,1.75,20.108,1.4,338.4304,1.0,23.386,1.2,21.035400000000003,1.6,27.2858,1.2,490.3698,1.8,22.3666,1.2,1033.0834000000002,2.0,22.0845,1.3333333333333333,26.465666666666667,1.6,24.126,1.6,23.7388,1.0,251.7826,1.5,23.77825,ferrari,7.090909090909091,181.77272727272728,7.090909090909091,181.77272727272728,7.090909090909091,181.77272727272728,7.090909090909091,181.77272727272728
bearman,62.0,74.0,37.0,60.0,7.0,3.659770114942528,6.0,3.909770114942529,3.7971264367816095,3.833333333333333,3.71896551724138,3.743678160919541,3.8833333333333337,3.929885057471264,3.941954022988506,4.242857142857143,3.5690476190476192,4.144444444444445,3.7594444444444446,3.8879310344827593,3.828645833333333,1.5773809523809523,24.993126785714285,1.0,22.457,1.6189655172413793,155.18533333333338,1.4376543209876544,132.25597160493828,1.2293103448275862,24.789460919540232,1.5844827586206895,23.21414195402299,1.3293103448275865,26.93724252873563,5.190804597701151,406.7664063218391,1.675862068965517,247.6662959770116,1.5097701149425289,337.96867011494254,1.6196428571428572,122.0983625,1.4074074074074074,30.1548950617284,1.5883333333333334,23.72921555555555,1.5,26.002658333333336,1.4690476190476187,116.7322125,1.5281250000000002,41.03869374999999,ferrari,7.090909090909091,181.77272727272728,7.090909090909091,181.77272727272728,7.090909090909091,181.77272727272728,7.090909090909091,181.77272727272728
sargeant,62.0,74.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,25.335,1.0,22.3545,4.0,19.018,1.0,803.1410000000001,1.0,36.0835,2.0,24.2785,1.5,27.456000000000003,57.0,24.384,1.0,17.337,1.5,25.6765,2.0,22.3495,1.5,28.3695,2.0,21.398,1.5,24.2355,1.5,26.524,3.0,35.182,williams,18.76923076923077,6.076923076923077,18.76923076923077,6.076923076923077,18.76923076923077,6.076923076923077,18.76923076923077,6.076923076923077
gasly,75.0,110.0,23.0,62.0,26.0,1.6,2.4,0.6,1.4,2.4,4.6,2.2,7.2,1.0,0.8,4.0,2.8,5.4,0.4,3.6,2.6,1.8,24.7998,1.5,24.524,1.2,202.2594,1.4,338.7692,1.4,26.774,1.8,23.5682,1.4,27.2548,1.5,987.14675,2.0,22.67125,1.6,435.28600000000006,2.0,28.10225,1.0,29.612333333333336,1.25,20.44025,2.0,23.34,1.2,252.5942,1.4,25.5908,alpine,10.875,62.125,10.875,62.125,10.875,62.125,10.875,62.125
